team_year,BPI_Off,BPI_Def,BPI
2008 Seton Hall,8.5,-5.1,3.4
2008 South Florida,1.4,1.9,3.3
2008 North Dakota St.,6.1,-2.9,3.2
2008 LSU,1.6,1.5,3
2008 Cal St. Northridge,4.5,-1.5,3
2008 Valparaiso,2.6,0.4,3
2008 Portland St.,3.8,-0.9,2.9
2008 Cincinnati,-0.8,3.6,2.8
2008 Robert Morris,3.5,-0.7,2.8
2008 Brown,-0.6,3.3,2.7
2008 Wright St.,-4.4,7.1,2.7
2008 Belmont,6.8,-4.2,2.6
2008 Sam Houston St.,-1.3,3.9,2.6
2008 Cleveland St.,-1.1,3.6,2.6
2008 UIC,1.3,1.3,2.5
2008 Rider,5.5,-3,2.5
2008 Nevada,3.9,-1.4,2.4
2008 Northern Iowa,-4.2,6.7,2.4
2008 High Point,-1.6,4.1,2.4
2008 Pacific,1.9,0.5,2.4
2008 UMBC,4.5,-2.2,2.3
2008 Penn St.,0.6,1.6,2.2
2008 Boise St.,8.3,-6.1,2.2
2008 Lamar,7.6,-5.5,2.1
2008 Auburn,2.7,-0.7,2
2008 Utah St.,2.8,-0.8,2
2008 San Diego,-1.7,3.7,2
2008 Iowa St.,-2.2,3.9,1.7
2008 Marshall,-1,2.6,1.6
2008 St. John's,-4,5.5,1.5
2008 Saint Louis,-5.9,7.4,1.5
2008 Fordham,-2.8,4.2,1.4
2008 North Texas,3.7,-2.3,1.4
2008 Indiana St.,-0.3,1.6,1.4
2008 Appalachian St.,1.8,-0.5,1.3
2008 UC Irvine,-1,2.3,1.3
2008 Northeastern,-3.1,4.3,1.2
2008 Niagara,5,-3.9,1.1
2008 Austin Peay,2.9,-1.8,1.1
2008 Georgia Southern,3.3,-2.4,0.9
2008 Green Bay,2.3,-1.4,0.8
2008 Oakland,5.3,-4.5,0.8
2008 American,-3,3.8,0.8
2008 Tulane,-2.8,3.6,0.7
2008 Marist,0.7,0,0.7
2008 UNC Asheville,2.3,-1.6,0.7
2008 Michigan,-1.4,2.1,0.7
2008 Holy Cross,-6.6,7.2,0.6
2008 Albany,-1,1.3,0.3
2008 Wichita St.,-3.6,3.8,0.3
2008 Chattanooga,4.2,-4,0.2
2008 Richmond,-4,4.2,0.2
2008 La Salle,5.3,-5.3,0
2008 Vermont,2,-2,0
2008 Iowa,-9.7,9.7,0
2008 Colorado,-4.5,4.4,-0.1
2008 Loyola MD,2.2,-2.4,-0.2
2008 UNC Wilmington,4,-4.2,-0.2
2008 Charleston,2.4,-2.7,-0.3
2008 Montana,0.1,-0.6,-0.4
2008 George Washington,-3.1,2.7,-0.5
2008 Mount St. Mary's,-2.2,1.7,-0.5
2008 SE Louisiana,-4.5,3.9,-0.6
2008 TCU,-0.7,0,-0.7
2008 East Tennessee St.,5.4,-6.1,-0.7
2008 Morgan St.,-2.5,1.8,-0.7
2008 Santa Clara,-7,6.2,-0.8
2008 Liberty,-2.5,1.6,-0.9
2008 Central Michigan,2,-2.9,-0.9
2008 James Madison,3.4,-4.3,-0.9
2008 Air Force,-9.5,8.4,-1.1
2008 Murray St.,-0.1,-1.1,-1.2
2008 Yale,-0.5,-0.8,-1.3
2008 Milwaukee,0,-1.3,-1.3
2008 William & Mary,-5.4,4.1,-1.3
2008 Lafayette,5.4,-6.7,-1.3
2008 New Orleans,2.9,-4.3,-1.4
2008 Gardner Webb,3.8,-5.3,-1.5
2008 Hampton,-4.1,2.6,-1.5
2008 UT Arlington,0.8,-2.4,-1.5
2008 Lipscomb,0.7,-2.3,-1.6
2008 Northern Arizona,1.2,-2.9,-1.7
2008 VMI,13.4,-15.1,-1.7
2008 Little Rock,-5.9,4.2,-1.8
2008 Purdue Fort Wayne,-0.3,-1.6,-1.8
2008 Fresno St.,-1.3,-0.5,-1.9
2008 Middle Tennessee,-2.5,0.7,-1.9
2008 Central Connecticut,-1.8,-0.2,-1.9
2008 Navy,4.6,-6.6,-2
2008 Eastern Michigan,-2.5,0.4,-2.1
2008 Weber St.,-3.1,1,-2.1
2008 Colgate,-4.3,2.2,-2.1
2008 Delaware,-3,0.8,-2.2
2008 Sacred Heart,1.6,-3.9,-2.3
2008 Rutgers,-5.2,2.9,-2.3
2008 Loyola Chicago,-5.6,3.2,-2.4
2008 Wofford,-2.2,-0.3,-2.5
2008 Hofstra,-0.6,-2,-2.5
2008 UT Martin,5.2,-7.9,-2.7
2008 Boston University,-5.9,3,-2.8
2008 Northwestern,-3.6,0.7,-2.9
2008 Utah Valley,-1.8,-1.1,-2.9
2008 Hawaii,-2.4,-0.6,-2.9
2008 Binghamton,-4.1,1.1,-3
2008 LIU,0.7,-3.7,-3
2008 Louisiana,-5.1,2.1,-3.1
2008 Columbia,-5,1.9,-3.1
2008 Fairfield,-2.8,-0.4,-3.1
2008 Wagner,-0.1,-3.2,-3.2
2008 Tennessee Tech,1.9,-5.2,-3.2
2008 Buffalo,2.3,-5.5,-3.3
2008 Toledo,-6.9,3.5,-3.4
2008 Florida Atlantic,2.1,-5.8,-3.8
2008 Towson,-2.9,-0.9,-3.8
2008 Bowling Green,-4.1,0.4,-3.8
2008 Drexel,-7.8,4,-3.8
2008 Quinnipiac,3.2,-7.1,-3.9
2008 Elon,-6.8,2.9,-3.9
2008 St. Bonaventure,-1.5,-2.5,-4
2008 Nicholls,-4,0,-4
2008 UL Monroe,-0.1,-4,-4.1
2008 McNeese,-5.7,1.6,-4.1
2008 Montana St.,0.7,-4.8,-4.1
2008 Tennessee St.,2.3,-6.4,-4.2
2008 Bucknell,-5.2,1,-4.2
2008 Jacksonville,0.6,-4.8,-4.2
2008 Iona,-4.5,0.3,-4.2
2008 Youngstown St.,-2.3,-1.9,-4.3
2008 Alabama St.,-3.1,-1.2,-4.3
2008 Eastern Kentucky,-8.3,4,-4.4
2008 Hartford,1,-5.4,-4.5
2008 Lehigh,-4.7,0.1,-4.5
2008 Arkansas St.,0,-4.6,-4.5
2008 Manhattan,-1.3,-3.3,-4.6
2008 Ball St.,-8.4,3.8,-4.6
2008 Wyoming,-0.4,-4.2,-4.7
2008 Evansville,-6.5,1.7,-4.8
2008 Pepperdine,3.8,-8.8,-5
2008 Western Carolina,-4.3,-0.6,-5
2008 Army,-10,4.9,-5.1
2008 New Hampshire,-2.8,-2.3,-5.1
2008 UT Rio Grande Valley,-1,-4.3,-5.3
2008 San Francisco,-2.2,-3.2,-5.4
2008 Coastal Carolina,-2.1,-3.3,-5.4
2008 Eastern Washington,-5.5,0,-5.5
2008 Georgia St.,-5.9,0.4,-5.5
2008 East Carolina,-1.2,-4.4,-5.5
2008 Detroit Mercy,-7.8,2.3,-5.5
2008 Presbyterian,-8.3,2.7,-5.6
2008 Texas St.,7.9,-13.7,-5.7
2008 Cal Poly,-5.3,-0.7,-6
2008 Troy,4.4,-10.5,-6
2008 Western Illinois,-3.9,-2.2,-6.1
2008 Delaware St.,-9.9,3.8,-6.1
2008 Central Arkansas,-5.7,-0.4,-6.1
2008 Kansas City,-0.8,-5.4,-6.1
2008 Texas A&M-CC,-5.2,-1,-6.2
2008 San José St,-2.8,-3.4,-6.2
2008 Morehead St.,-6.7,0.4,-6.3
2008 Oregon St.,-6,-0.2,-6.3
2008 Samford,-10.6,4.2,-6.4
2008 Campbell,-1.9,-4.7,-6.5
2008 Northern Colorado,-2,-4.6,-6.6
2008 Mercer,1.5,-8.2,-6.6
2008 North Carolina A&T,-1.6,-5.1,-6.7
2008 Penn,-1.4,-5.3,-6.7
2008 Harvard,-0.7,-6.1,-6.8
2008 Stetson,-6.1,-0.7,-6.8
2008 Norfolk St.,-1,-5.8,-6.8
2008 Saint Peter's,-4,-3,-7
2008 Florida International,-6,-1,-7
2008 Chicago St.,2.4,-9.5,-7.1
2008 Charleston Southern,0.3,-7.5,-7.1
2008 Northwestern St.,3,-10.1,-7.1
2008 UTSA,-7.3,0.2,-7.1
2008 Southern Utah,-2.7,-4.5,-7.2
2008 SMU,-5.4,-1.9,-7.2
2008 Colorado St.,-3,-4.3,-7.3
2008 Stony Brook,-8,0.6,-7.4
2008 Princeton,-10.8,3.2,-7.5
2008 Northern Illinois,-1.5,-6.1,-7.6
2008 Centenary,-0.9,-6.8,-7.7
2008 Portland,-6.4,-1.3,-7.7
2008 South Carolina UpSt.,-7.1,-0.7,-7.8
2008 St. Francis (BKN),-3.5,-4.4,-7.9
2008 UC Riverside,-8.8,0.9,-7.9
2008 Denver,-12.8,4.8,-8
2008 Radford,0.2,-8.2,-8
2008 South Dakota St.,-4.7,-3.4,-8.1
2008 Rice,-10,1.9,-8.1
2008 Dartmouth,-6.8,-1.3,-8.1
2008 Idaho,-5,-3.4,-8.4
2008 Furman,-6.6,-2.1,-8.8
2008 Southeast Missouri St.,3.4,-12.3,-8.9
2008 Florida Gulf Coast,-3.9,-5.2,-9
2008 Kennesaw St.,-3.2,-5.9,-9.1
2008 Fairleigh Dickinson,-0.6,-8.7,-9.2
2008 Long Beach St.,-5.4,-3.9,-9.3
2008 South Carolina St.,-1,-8.4,-9.4
2008 Eastern Illinois,-7.5,-2,-9.4
2008 Jackson St.,-2.1,-7.5,-9.6
2008 Monmouth,-10.4,0.8,-9.6
2008 Florida A&M,-5.1,-4.7,-9.8
2008 Alabama A&M,-7.5,-2.6,-10.1
2008 St. Francis (PA),-6.3,-3.8,-10.1
2008 Coppin St.,-9.6,-0.6,-10.2
2008 Southern,-9.3,-1,-10.3
2008 Savannah St.,-10.3,0,-10.3
2008 UC Davis,-7.1,-3.4,-10.4
2008 Idaho St.,-8.9,-1.6,-10.5
2008 Jacksonville St.,-0.9,-9.7,-10.6
2008 Cal St. Bakersfield,-4.4,-6.3,-10.7
2008 Winston Salem,-8.7,-2.2,-10.9
2008 Bethune-Cookman,-12.3,1.3,-11
2008 Maine,-5.7,-5.4,-11.1
2008 Canisius,-8.1,-3.1,-11.2
2008 Arkansas Pine Bluff,-11.2,0.1,-11.2
2008 Sacramento St.,-5,-6.9,-11.8
2008 Mississippi Valley St.,-9.8,-2.1,-11.9
2008 Longwood,-3.8,-8.2,-12.1
2008 Louisiana Tech,-8.5,-3.6,-12.1
2008 The Citadel,-7.1,-5.8,-13
2008 Prairie View A&M,-6.2,-7.6,-13.8
2008 Texas Southern,-6.7,-7.4,-14.1
2008 Loyola Marymount,-6,-8.2,-14.2
2008 North Florida,-10.7,-3.8,-14.4
2008 Howard,-12.9,-3,-15.9
2008 Alcorn St.,-4.8,-11.8,-16.6
2008 Maryland-Eastern Shore,-9.3,-7.4,-16.7
2008 Grambling,-6.2,-11.1,-17.2
2008 North Carolina Central,-11.1,-6.7,-17.8
2008 NJIT,-12.9,-7.2,-20.1
2009 North Carolina,20.3,1.2,21.5
2009 Connecticut,12.3,6.4,18.6
2009 Memphis,8.1,10.3,18.5
2009 Duke,11.3,7,18.4
2009 Pittsburgh,11,7,18.1
2009 Louisville,7.8,9.6,17.4
2009 West Virginia,6.5,10,16.6
2009 Villanova,10.5,5.3,15.9
2009 Missouri,12.9,2.9,15.8
2009 Gonzaga,12.8,2.6,15.4
2009 Kansas,8.8,6.1,14.9
2009 Oklahoma,10.8,3.7,14.5
2009 Michigan St.,7.8,6.1,14
2009 Clemson,10.7,3.1,13.8
2009 Syracuse,13.4,0.4,13.8
2009 UCLA,10.4,3.3,13.7
2009 Purdue,5.6,8,13.5
2009 Xavier,6.1,7.3,13.5
2009 Arizona St.,4.1,8.9,13
2009 Wake Forest,11.7,1.2,12.9
2009 Tennessee,11.1,1.5,12.6
2009 Illinois,0.7,11.3,12
2009 Georgetown,4.3,7.6,11.9
2009 Marquette,10.6,1.3,11.8
2009 Washington,11.8,-0.1,11.8
2009 Miami FL,6.7,4.8,11.5
2009 Texas,5.8,5.7,11.5
2009 Oklahoma St.,12.3,-1.2,11.1
2009 Florida,8.2,2.8,11
2009 Butler,2.3,8.6,10.9
2009 Wisconsin,0.6,9.9,10.6
2009 Davidson,7.5,2.8,10.3
2009 BYU,8,2.2,10.1
2009 LSU,6.2,3.9,10.1
2009 Florida St.,2.5,7.4,9.9
2009 Kentucky,4.3,5.6,9.9
2009 USC,2.3,7.5,9.8
2009 UAB,5.7,4,9.7
2009 Temple,2.7,7,9.7
2009 Ohio St.,2.9,6.8,9.7
2009 Notre Dame,9.4,0.2,9.7
2009 Baylor,9.1,0.4,9.5
2009 California,8.9,0.4,9.3
2009 Maryland,5.7,3.5,9.3
2009 Kansas St.,6.3,2.8,9.1
2009 Saint Mary's,5.5,3.4,8.9
2009 VCU,5,3.8,8.8
2009 Boston College,7.7,0.7,8.4
2009 North Dakota St.,10.8,-2.4,8.4
2009 Houston,7.7,0.6,8.3
2009 Michigan,3.3,5,8.3
2009 San Diego St.,0.4,7.7,8.1
2009 South Carolina,9,-0.8,8.1
2009 Virginia Tech,5.3,2.8,8.1
2009 Auburn,4,3.9,8
2009 Illinois St.,4.5,3.3,7.8
2009 Texas A&M,3.9,3.8,7.8
2009 UNLV,4,3.8,7.8
2009 New Mexico,4.8,2.9,7.7
2009 Creighton,6.3,1.4,7.7
2009 Siena,8.9,-1.3,7.7
2009 Tulsa,0.2,7.5,7.7
2009 NC St.,5.4,2.2,7.6
2009 Stanford,6.2,1.2,7.5
2009 Rhode Island,10.7,-3.3,7.4
2009 Vanderbilt,3.3,4,7.3
2009 Minnesota,1.1,6.1,7.2
2009 Penn St.,2.3,4.7,7
2009 Washington St.,-6.4,13.4,6.9
2009 Dayton,-0.4,7.3,6.9
2009 Mississippi St.,5.7,1.1,6.8
2009 Northwestern,-0.4,7.2,6.8
2009 Arizona,7,-0.2,6.8
2009 Utah St.,2.8,3.9,6.7
2009 Cleveland St.,-0.8,7.5,6.7
2009 Utah,3.6,3.1,6.7
2009 Niagara,6.3,0.2,6.6
2009 George Mason,-0.4,6.7,6.3
2009 Nebraska,-2,8.1,6.1
2009 Providence,11,-5.1,5.9
2009 Cincinnati,1.3,4.5,5.8
2009 UTEP,8.1,-2.3,5.8
2009 Seton Hall,7.8,-2,5.8
2009 Green Bay,5.3,0.4,5.8
2009 Akron,0.4,5.4,5.8
2009 Vermont,7.2,-1.5,5.7
2009 Duquesne,10.1,-4.7,5.5
2009 Stephen F. Austin,-5.4,10.8,5.5
2009 Cornell,4.8,0.6,5.4
2009 Northern Iowa,0.8,4.5,5.3
2009 Miami (OH),-2.9,8.2,5.3
2009 Old Dominion,-1.3,6.4,5.1
2009 Saint Joseph's,2.1,3,5.1
2009 Georgia Tech,3.7,1.4,5.1
2009 Northeastern,-2.7,7.6,4.9
2009 Virginia,3,1.9,4.8
2009 Mississippi,6,-1.5,4.6
2009 Oral Roberts,2.5,1.9,4.4
2009 UT Martin,7.1,-2.8,4.3
2009 Wright St.,-4.7,8.8,4.1
2009 Alabama,3.7,0.2,3.9
2009 East Tennessee St.,5.7,-2,3.7
2009 Iowa,-4.7,8.4,3.7
2009 Belmont,6,-2.4,3.6
2009 American,-2.3,5.8,3.6
2009 Western Kentucky,3.9,-0.4,3.5
2009 La Salle,3.8,-0.4,3.4
2009 Murray St.,-1.1,4.4,3.3
2009 Jacksonville,4.3,-1.1,3.2
2009 Texas Tech,8.8,-5.7,3.1
2009 Portland St.,4.9,-1.9,3.1
2009 Oakland,6,-2.9,3
2009 Kent St.,2,0.8,2.8
2009 Robert Morris,1.2,1.5,2.7
2009 Buffalo,-1.4,4,2.6
2009 Sam Houston St.,2.8,-0.3,2.5
2009 UIC,1.2,1.3,2.5
2009 Nevada,1.6,0.8,2.4
2009 Arkansas,4.3,-2,2.3
2009 St. John's,-0.9,3.2,2.3
2009 Charleston,6,-3.8,2.3
2009 Richmond,0.8,1.5,2.3
2009 UCF,3,-0.9,2.2
2009 Portland,1.9,0.3,2.1
2009 Evansville,0.1,2,2
2009 Mount St. Mary's,-1.7,3.7,2
2009 Eastern Kentucky,1.3,0.7,2
2009 Cal St. Northridge,4.3,-2.4,1.9
2009 Drake,-1.7,3.5,1.9
2009 Pacific,-2.7,4.6,1.9
2009 Southern Miss,-0.3,2.1,1.8
2009 Middle Tennessee,-0.2,1.9,1.7
2009 Bradley,0.3,1.2,1.4
2009 Marshall,2.7,-1.3,1.4
2009 Massachusetts,3.8,-2.6,1.3
2009 Bowling Green,-2.4,3.6,1.3
2009 Iowa St.,-2.7,4,1.2
2009 Drexel,-5,6.2,1.2
2009 Charlotte,1.5,-0.3,1.2
2009 Little Rock,-1.9,3.1,1.2
2009 Oregon St.,-5.4,6.4,1
2009 Boston University,0.6,0.4,1
2009 Lipscomb,4.1,-3.1,1
2009 Ohio,-0.7,1.7,1
2009 James Madison,2.1,-1.2,1
2009 Southern Illinois,-2.3,3.2,1
2009 TCU,-2.6,3.5,0.9
2009 New Mexico St.,6,-5.1,0.9
2009 Wichita St.,-4,4.9,0.9
2009 Morehead St.,-0.7,1.5,0.8
2009 Nicholls,-4.2,4.9,0.8
2009 Saint Louis,-5.2,5.8,0.6
2009 Rutgers,-3.3,3.9,0.6
2009 South Florida,-4.8,5.3,0.5
2009 UT Arlington,6,-5.5,0.4
2009 George Washington,-1,1.5,0.4
2009 Milwaukee,1.6,-1.3,0.3
2009 Sacred Heart,3.9,-3.6,0.2
2009 North Texas,6.2,-6.1,0.2
2009 VMI,15.2,-15.1,0.1
2009 Morgan St.,-2.4,2.4,0
2009 Holy Cross,-3.4,3.4,0
2009 Santa Clara,-2.4,2.3,0
2009 Tulane,-1.6,1.5,-0.2
2009 Weber St.,0.6,-0.7,-0.2
2009 Rider,3.6,-3.8,-0.2
2009 Iona,-3.9,3.7,-0.2
2009 SE Louisiana,-0.1,-0.1,-0.2
2009 South Alabama,-1,0.7,-0.3
2009 Fairfield,-1,0.7,-0.3
2009 Stony Brook,-4,3.7,-0.3
2009 San Diego,-5.6,5.3,-0.3
2009 Cal St. Fullerton,4.9,-5.3,-0.4
2009 Texas A&M-CC,-1.1,0.7,-0.4
2009 Austin Peay,4.8,-5.2,-0.5
2009 Radford,2,-2.5,-0.5
2009 Lamar,2.7,-3.3,-0.6
2009 Binghamton,0.9,-1.6,-0.7
2009 Texas St.,6.8,-7.7,-0.8
2009 Long Beach St.,2.7,-3.6,-0.9
2009 IUPUI,-3.6,2.5,-1.1
2009 Hofstra,-1.5,0.4,-1.1
2009 Western Carolina,2.7,-3.8,-1.2
2009 UC Santa Barbara,-3,1.8,-1.2
2009 Oregon,2.3,-3.5,-1.2
2009 The Citadel,-2.6,1.3,-1.2
2009 Navy,1.4,-2.7,-1.2
2009 Manhattan,-3,1.7,-1.3
2009 Liberty,3.4,-4.7,-1.3
2009 UTSA,3,-4.4,-1.4
2009 Boise St.,2.4,-3.9,-1.4
2009 St. Bonaventure,1.2,-2.7,-1.5
2009 Georgia,-2.2,0.5,-1.7
2009 Wofford,-0.4,-1.4,-1.7
2009 Idaho,-2.8,1,-1.8
2009 Louisiana Tech,-4.1,2.3,-1.9
2009 Chattanooga,4.9,-6.9,-1.9
2009 Arkansas St.,-3.1,1.1,-2
2009 Troy,6.3,-8.3,-2
2009 East Carolina,3.1,-5.1,-2
2009 Harvard,0.4,-2.5,-2
2009 Delaware,1,-3.1,-2.1
2009 DePaul,-0.5,-1.6,-2.1
2009 San José St,-0.9,-1.2,-2.2
2009 Missouri St.,-5.4,3.2,-2.2
2009 Albany,-3.7,1.5,-2.3
2009 Appalachian St.,4.9,-7.2,-2.3
2009 SMU,-3.4,1,-2.3
2009 Seattle U,-3.6,1.2,-2.4
2009 Jacksonville St.,-1.6,-0.9,-2.4
2009 Mercer,3.8,-6.4,-2.5
2009 Youngstown St.,-0.8,-1.8,-2.5
2009 William & Mary,-6.2,3.6,-2.6
2009 Fresno St.,0.3,-2.9,-2.6
2009 Western Michigan,-3.3,0.6,-2.6
2009 Alabama St.,-3.2,0.6,-2.6
2009 Indiana St.,-2.5,-0.2,-2.6
2009 Valparaiso,-4.2,1.6,-2.7
2009 Yale,-3.9,1.1,-2.8
2009 LIU,1.2,-4.1,-2.9
2009 Wyoming,4.2,-7.1,-2.9
2009 Tennessee Tech,1.1,-4.1,-2.9
2009 Utah Valley,-1.5,-1.4,-3
2009 Montana,-4,1,-3
2009 Chicago St.,10.1,-13.4,-3.2
2009 Purdue Fort Wayne,-2.4,-0.9,-3.3
2009 Gardner Webb,1.6,-4.9,-3.3
2009 Loyola Chicago,-3.1,-0.3,-3.4
2009 Lehigh,-3.4,0,-3.4
2009 McNeese,-5.1,1.7,-3.4
2009 Colorado,-5,1.5,-3.5
2009 Hawaii,-3.5,0,-3.5
2009 Ball St.,-8.8,5.2,-3.5
2009 Samford,-8.5,5,-3.6
2009 New Hampshire,-5.2,1.6,-3.6
2009 Jackson St.,-0.3,-3.3,-3.7
2009 Loyola MD,-0.4,-3.4,-3.7
2009 UMBC,-1.3,-2.5,-3.8
2009 Penn,-1.5,-2.3,-3.8
2009 UC Davis,3.9,-7.7,-3.8
2009 Canisius,-4.2,0.4,-3.8
2009 Stetson,-3.1,-0.8,-3.9
2009 UC Riverside,-9.2,5.2,-4
2009 South Dakota St.,0.2,-4.2,-4
2009 San Francisco,-1.3,-2.7,-4
2009 Rice,-3.7,-0.4,-4.1
2009 Northern Colorado,0.1,-4.3,-4.3
2009 Towson,-0.8,-3.6,-4.4
2009 Princeton,-11.1,6.6,-4.5
2009 Campbell,-1.9,-2.6,-4.5
2009 Indiana,-3.5,-1,-4.5
2009 Louisiana,-2.2,-2.4,-4.6
2009 Georgia St.,-7.1,2.4,-4.6
2009 Quinnipiac,-2.7,-2,-4.7
2009 Coppin St.,-3.3,-1.3,-4.7
2009 Central Connecticut,-3.4,-1.3,-4.7
2009 Presbyterian,-8.8,4.1,-4.8
2009 Idaho St.,-3,-1.8,-4.8
2009 Marist,-2.8,-2.1,-4.9
2009 Central Michigan,-4.6,-0.3,-4.9
2009 Army,-9.5,4.5,-4.9
2009 UC Irvine,-3,-2,-4.9
2009 Northern Arizona,-3.4,-1.6,-5
2009 South Dakota,1.5,-6.5,-5.1
2009 Denver,-9.5,4.4,-5.2
2009 Columbia,-7.2,2,-5.2
2009 Hampton,-10.3,5,-5.3
2009 Colorado St.,1.3,-6.7,-5.4
2009 Wagner,-2,-3.4,-5.4
2009 Eastern Illinois,-6.2,0.7,-5.5
2009 Winthrop,-8.9,3.4,-5.6
2009 Saint Peter's,-8.7,3.1,-5.6
2009 Centenary,-4.5,-1.3,-5.7
2009 Maine,-2.8,-3,-5.8
2009 Prairie View A&M,-3.3,-2.6,-5.9
2009 Cal Poly,-3.3,-2.6,-5.9
2009 Detroit Mercy,-8.7,2.6,-6
2009 South Carolina St.,-1.2,-4.8,-6
2009 North Carolina A&T,-3.3,-2.7,-6.1
2009 Elon,-4.8,-1.3,-6.1
2009 Eastern Washington,-5.3,-1.2,-6.4
2009 Montana St.,-3.2,-3.4,-6.5
2009 High Point,-7.1,0.6,-6.5
2009 Florida Atlantic,-2.2,-4.4,-6.6
2009 Northern Illinois,-1.9,-4.8,-6.7
2009 Coastal Carolina,-2.9,-3.8,-6.7
2009 Florida International,-6.3,-0.6,-6.8
2009 Tennessee St.,1.7,-8.7,-7
2009 Savannah St.,-10.5,3.4,-7.1
2009 Longwood,2.8,-9.9,-7.1
2009 St. Francis (BKN),-3.3,-3.8,-7.1
2009 UNC Asheville,1,-8.2,-7.1
