team_year,ovr_rating_bpi,ovr_rating_kenpom,ovr_rating_torvik,wab,off_rating_bpi,off_rating_kenpom,off_rating_torvik,def_rating_bpi,def_rating_kenpom,def_rating_torvik
2014 Arizona St.,10.1,15.3941,0.833107719,1.213561757,7.6,110.175,109.860475,2.4,94.7808,95.52626218
2018 Arizona St.,9.2,14.714,0.831210121,-1.195627029,7.3,117.651,117.0963235,2,102.937,101.9383636
2019 Arizona St.,7.4,11.2091,0.772847228,0.228082834,3.5,109.774,108.8862408,4,98.5646,97.88849395
2023 Arizona St.,7.7,12.3762,0.799339444,1.22719058,1.7,107.586,105.7696107,6,95.2101,93.79152153
2008 Arkansas,9.7,14.8678,0.861858172,0.536880281,5.5,109.701,108.1667624,4.1,94.8336,92.24732433
2015 Arkansas,10,16.9767,0.856876651,3.803449413,10.4,114.941,113.3269546,-0.4,97.964,96.99513003
2017 Arkansas,9.6,15.5987,0.823797015,3.894505508,6.5,116.639,115.3384539,3.1,101.04,100.8625729
2018 Arkansas,10,15.635,0.855490105,2.800839214,7.6,117.32,116.8816258,2.4,101.685,100.1355319
2021 Arkansas,13.5,21.5292,0.895876003,4.560328488,6.4,111.502,110.0544506,7.1,89.9724,91.2703264
2022 Arkansas,12.8,19.0214,0.880107573,4.468636964,5.3,111.072,109.3682097,7.6,92.0511,91.96212872
2023 Arkansas,12.6,18.6287,0.893829101,0.37778832,4.7,112.596,110.708574,7.8,93.9677,91.98665415
2011 Little Rock,-2.2,-4.48952,0.353002172,-10.90459339,-1.6,100.167,99.25700767,-0.6,104.657,104.626489
2016 Little Rock,8.1,13.3265,0.784652126,2.221129345,-1.6,108.951,106.9269546,9.7,95.6244,95.55599326
2010 Arkansas Pine Bluff,-3.3,-7.91476,0.300401105,-7.928022389,-4.9,91.8221,91.41334788,1.6,99.7369,98.38649563
2018 Auburn,12.2,20.6348,0.895846184,4.264992321,7.1,118.196,116.8138758,5.1,97.5614,96.87874363
2019 Auburn,16.4,23.3317,0.925372657,6.12001677,10.5,119.571,119.4046864,5.9,96.2397,95.92713792
2022 Auburn,15.6,24.453,0.933273091,7.417990937,6.5,113.602,112.6899349,9,89.1491,89.58975895
2023 Auburn,11.6,17.4484,0.881276372,1.053937998,5.4,112.689,110.9453885,6.3,95.2408,93.19810545
2008 Austin Peay,1.1,-0.173098,0.470934237,-5.250753396,2.9,104.504,102.4552894,-1.8,104.677,103.4975297
2016 Austin Peay,-3.3,-5.09934,0.326793061,-11.1436239,0.9,104.005,101.7577228,-4.2,109.104,108.3579858
2008 Baylor,7.8,15.3717,0.854572062,1.500013739,12.6,115.389,114.5807954,-4.8,100.017,98.22759213
2010 Baylor,15.4,23.4007,0.921179651,5.548258125,9.5,118.384,117.9494076,6,94.9837,95.24710088
2012 Baylor,12.7,21.4193,0.909037724,6.959982114,8.9,115.656,114.3574223,3.8,94.2364,93.61213114
2014 Baylor,11,17.8854,0.856966108,3.129589533,5.8,118.684,118.0945137,5.2,100.799,101.0692119
2015 Baylor,13.6,23.4796,0.927414771,4.781566896,4.8,117.192,115.8248733,8.8,93.7123,92.80917208
2016 Baylor,11.8,19.9152,0.876416034,3.481590668,7.5,118.756,117.7981438,4.3,98.8407,99.348278
2017 Baylor,15.1,25.0078,0.935471994,7.903263177,7.9,117.289,116.2801029,7.1,92.281,92.15614867
2019 Baylor,10.3,15.2935,0.821734275,0.945710965,6.7,113.517,112.0235908,3.6,98.2238,98.08432674
2021 Baylor,20.7,29.4969,0.960115506,6.687556496,13.9,123.265,123.349424,6.8,93.7679,93.54164523
2022 Baylor,17.9,26.3204,0.951455694,8.907444663,10.1,117.874,117.5014874,7.8,91.5538,90.71388679
2023 Baylor,13.8,19.9811,0.904588008,5.23708249,10.6,121.852,120.935528,3.2,101.871,99.4513339
2008 Belmont,2.6,2.57916,0.515971822,-3.497610163,6.8,109.436,105.5366588,-4.2,106.857,104.9517858
2011 Belmont,13.5,18.9677,0.879501448,1.115082385,9.1,112.236,110.7532312,4.4,93.268,93.17314964
2012 Belmont,11.5,17.6692,0.85604321,0.932002142,10.6,117.088,115.1644922,0.9,99.4192,98.62598033
2013 Belmont,10.5,15.7507,0.829806596,0.347978416,7.1,111.598,108.8854506,3.5,95.8476,94.87259846
2015 Belmont,2,1.49515,0.5235805,-4.420845686,5.9,109.115,107.3292752,-3.9,107.619,106.4519219
2019 Belmont,9.4,13.0739,0.784966626,1.371415866,7.5,114.834,113.4287622,1.9,101.76,101.3499642
2009 Binghamton,-0.7,-0.871417,0.468796889,-4.316546805,0.9,101.747,100.8249929,-1.6,102.618,101.9266716
2008 Boise St.,2.2,4.12039,0.599104473,-2.384583297,8.3,108.605,106.2429929,-6.1,104.484,102.5956328
2013 Boise St.,8.6,15.1001,0.829239065,-0.110257134,6.7,113.2,111.3842877,1.9,98.0999,97.08372553
2015 Boise St.,8.1,13.9824,0.799620134,0.468608594,4.2,111.769,109.505535,3.9,97.7869,97.08958048
2022 Boise St.,8,16.412,0.850638373,3.499308269,2.9,108.443,106.8552438,5.1,92.0306,91.85433788
2023 Boise St.,9.2,17.1342,0.852674106,2.144838709,3.7,110.969,108.2157551,5.5,93.8352,92.89360125
2009 Boston College,8.4,12.1159,0.804914617,0.576185597,7.7,113.378,112.329107,0.7,101.263,99.30437578
2011 Boston University,0.1,-0.385171,0.453344078,-7.409347846,-1.6,102.907,101.7187263,1.7,103.292,103.3877945
2019 Bradley,-0.4,-0.358275,0.467599691,-7.617977199,-2,100.892,99.98758034,1.6,101.25,101.1223802
2022 Bryant,-0.2,-0.950484,0.458619305,-4.789364241,0.6,104.211,102.7057137,-0.7,105.162,104.1981144
2011 Bucknell,3.3,7.57974,0.697105873,-2.105780128,-0.2,105.356,103.9467063,3.5,97.7759,96.67891901
2013 Bucknell,7.9,13.4434,0.808834155,1.249190377,0.5,107.882,105.6030792,7.4,94.4384,93.15426419
2017 Bucknell,5.2,8.71601,0.707426524,-2.078053302,2.8,109.074,107.3367999,2.4,100.358,99.40437049
2018 Bucknell,6.4,6.8137,0.64949708,-3.034594973,3.8,109.182,107.3953077,2.6,102.368,101.7866709
2015 Buffalo,7.5,12.339,0.778585915,-0.965405658,7.1,111.344,108.8266184,0.4,99.0045,97.55467015
2016 Buffalo,1.8,2.71119,0.550882996,-5.64533897,3.9,105.541,104.2955485,-2,102.83,102.4596199
2018 Buffalo,6.7,10.4931,0.762510006,-1.339390719,5.3,114.284,113.4337831,1.4,103.791,102.4920601
2019 Buffalo,12.6,20.337,0.880262848,5.748055002,7,114.89,113.2241032,5.6,94.5531,95.19216371
2008 Butler,12.5,19.2975,0.889702774,4.729893703,3.3,116.138,114.2259089,9.2,96.8401,95.26269254
2009 Butler,10.9,16.1506,0.851814388,2.520683519,2.3,109.777,108.6444318,8.6,93.6264,93.31696583
2010 Butler,12.5,20.0295,0.894953667,4.6447892,3.1,110.745,109.1761005,9.4,90.7154,90.61947074
2011 Butler,10.2,14.9935,0.841607889,-0.376392405,5,112.272,111.6240149,5.2,97.278,96.53425366
2013 Butler,9,14.8086,0.85615384,4.797784352,4.4,110.071,109.3832909,4.6,95.2626,93.66768972
2015 Butler,12.8,19.6267,0.899757377,3.359838907,3.5,110.554,108.4996021,9.3,90.9269,89.65040027
2016 Butler,12.1,15.8497,0.877697453,2.076390879,8.6,117.318,117.9367832,3.5,101.468,99.36247008
2017 Butler,13.3,20.9097,0.904621478,5.529968355,8.6,117.971,117.5289546,4.7,97.0613,96.64667861
2018 Butler,12.4,17.8667,0.897354663,1.683414545,7,115.758,115.1839626,5.4,97.8916,95.39191983
2008 BYU,8.2,16.0675,0.864533497,2.520680405,4.6,106.852,104.9378038,3.6,90.7846,89.31745227
2009 BYU,10.1,21.6562,0.915659724,2.329804532,8,114.296,113.8221184,2.2,92.6399,92.50514177
2010 BYU,14.4,24.4842,0.933506102,4.08960734,12.6,117.315,116.3949399,1.8,92.8309,92.50512773
2011 BYU,14,23.4657,0.921720462,7.24228091,13.2,117.73,116.7381369,0.8,94.2638,94.20774024
2012 BYU,8.9,12.9336,0.818331906,0.41550673,7.9,106.894,105.4385707,1,93.9601,92.50395643
2014 BYU,7.6,14.7544,0.814919109,0.645288383,10.8,114.713,114.2176769,-3.2,99.9591,100.4048769
2015 BYU,10.2,17.7947,0.862371355,0.931366856,14.6,119.356,118.0859856,-4.4,101.562,100.6688883
2021 BYU,11.1,20.9462,0.89409281,3.550429705,6.6,113.107,111.5248201,4.5,92.1612,92.64245159
2014 Cal Poly,-2.1,-0.599368,0.468503747,-10.59947635,-8.2,103.247,102.9773882,6.1,103.846,104.1132423
2016 Cal St. Bakersfield,2.2,6.49871,0.708072269,-3.387651895,-1.5,103.37,103.1722499,3.8,96.8714,95.52165476
2008 Cal St. Fullerton,4.7,8.87459,0.680967261,-3.219638416,9.6,112.978,109.1913588,-4.9,104.103,102.2243299
2018 Cal St. Fullerton,-0.7,1.3154,0.465307988,-5.481875555,-1.8,104.984,102.4178626,1.1,103.669,103.6632167
2022 Cal St. Fullerton,-0.4,2.10306,0.466302744,-5.04558874,0.7,104.656,101.9952038,-1.1,102.553,103.1995373
2009 Cal St. Northridge,1.9,5.11477,0.633313678,-6.613558377,4.3,101.374,100.786134,-2.4,96.2591,96.10896568
2009 California,9.3,18.2213,0.882105518,3.209400856,8.9,116.839,115.667101,0.4,98.6172,97.09737702
2010 California,11.7,22.2322,0.918926212,1.72116006,11.3,119.968,119.4551399,0.5,97.7354,96.72035233
2012 California,10.1,16.549,0.883923195,1.821055919,4.8,111.11,109.7666387,5.3,94.5611,92.0033176
2013 California,10.4,12.7298,0.798625804,0.518857215,5.5,107.434,105.6281384,4.9,94.7044,93.70226794
2016 California,11.8,19.6396,0.899038527,2.294431652,5.1,112.902,112.5191385,6.7,93.2625,93.03589028
2018 Charleston,3.3,4.73418,0.543716541,-2.134217436,2.3,109.887,106.5609921,0.9,105.153,104.9488237
2023 Charleston,8.2,11.7607,0.782148965,1.663132365,4,111.378,109.2234817,4.2,99.6171,97.73359088
2009 Chattanooga,-1.9,-3.84568,0.402552269,-9.283561793,4.9,104.271,102.4671489,-6.9,108.116,106.0463564
2016 Chattanooga,4.2,7.41784,0.65257029,0.542788294,0.6,107.156,105.9001784,3.6,99.7384,100.2516304
2022 Chattanooga,8,11.2724,0.749886953,0.197175944,4.2,110.028,108.3726801,3.8,98.756,98.50397916
2011 Cincinnati,10.9,19.6039,0.893484144,3.22460749,2.1,109.822,108.7548211,8.8,90.218,90.39182664
2012 Cincinnati,10,15.1423,0.869362635,2.98865486,3.2,109.258,108.6810202,6.8,94.1152,92.16730216
2013 Cincinnati,11.4,15.5856,0.88295119,1.68687706,2.9,105.794,105.0744947,8.5,90.2087,88.14281215
2014 Cincinnati,12.1,19.0788,0.883407833,5.359061685,-0.1,109.197,108.5979335,12.2,90.1186,91.06343059
2015 Cincinnati,8.7,14.2488,0.833515063,-1.162892063,-2.3,108.353,106.3803175,11,94.1045,92.47659841
2016 Cincinnati,13,17.1593,0.870842502,0.362862269,3.3,110.035,109.4776675,9.6,92.8755,92.73725406
2017 Cincinnati,14.8,22.3165,0.926786073,5.623331986,7,114.215,113.4248414,7.8,91.8982,90.9596009
2018 Cincinnati,18.5,26.9966,0.946897016,5.940758385,6.3,113.155,110.9363274,12.2,86.158,86.35255483
2019 Cincinnati,11.8,17.0509,0.884680054,5.907425857,5.2,111.566,112.0754179,6.7,94.515,93.8780636
2008 Clemson,14.7,22.3653,0.931373999,4.40273548,10.2,114.102,113.5556881,4.5,91.7372,90.51464589
2009 Clemson,13.8,20.2938,0.907668534,2.764782335,10.7,116.758,115.8157414,3.1,96.4646,94.94159002
2010 Clemson,13.4,19.633,0.911532533,1.510566041,7.2,109.94,109.5136915,6.3,90.3071,89.40925057
2011 Clemson,10.7,17.4409,0.881507437,0.514792479,2.3,107.856,108.2420287,8.4,90.4152,90.90971179
2018 Clemson,14,20.2693,0.882519008,3.953590794,6,113.774,111.463879,7.9,93.5052,93.53656489
2021 Clemson,9.5,16.1652,0.848297972,2.891979462,2.3,106.87,105.1490027,7.3,90.7046,90.53160039
2009 Cleveland St.,6.7,11.7042,0.776988872,-1.251866616,-0.8,104.438,102.1409353,7.5,92.7341,91.63507094
2021 Cleveland St.,-1.8,1.37289,0.486357153,-2.678741329,-2,100.852,99.15531284,0.2,99.4794,99.62707387
2014 Coastal Carolina,-1.8,-5.97261,0.354742045,-7.547524733,-2.9,97.0064,97.2690362,1.1,102.979,102.4631533
2015 Coastal Carolina,2.6,1.6211,0.538753949,-4.834784477,-0.4,105.424,104.1826144,3,103.803,102.784909
2019 Colgate,2.6,4.2867,0.577637166,-4.108449774,3.5,110.038,108.4142714,-1,105.751,105.502567
2021 Colgate,8.5,10.2223,0.829127478,0.369406702,6.9,110.89,112.452659,1.6,100.668,98.02164421
2022 Colgate,3.7,4.21729,0.577784739,-6.101800459,3.8,108.276,106.4209092,-0.1,104.059,103.5572936
2023 Colgate,4.3,5.29267,0.651187255,-3.654184363,5.9,112.963,111.6864531,-1.6,107.67,105.7853209
2012 Colorado,5,8.34556,0.761475744,-0.280300605,1.3,104.614,104.18952,3.7,96.2689,94.18618565
2013 Colorado,7.1,14.7956,0.848482375,1.420460088,2.5,107.269,105.760562,4.6,92.4737,91.04679199
2014 Colorado,6.7,12.4727,0.801666685,2.44762936,2.5,107.9,108.0331426,4.2,95.4275,95.67739513
2016 Colorado,8.7,13.5905,0.803701534,0.727985818,3.9,108.785,107.8001313,4.7,95.1948,95.36443268
2021 Colorado,13.1,21.6816,0.933331377,4.868849195,7.4,114.417,115.4009713,5.7,92.7358,91.73759366
2012 Colorado St.,4.7,9.50647,0.724470139,-0.935523624,4.5,113.273,111.848332,0.2,103.767,102.8301947
2013 Colorado St.,8.6,20.1795,0.875959012,1.969791077,6.7,118.136,115.4832084,1.8,97.9562,97.43160018
2022 Colorado St.,6.4,15.8566,0.817862482,4.302026853,5.9,114.159,112.4782552,0.5,98.3029,98.70712328
2008 Connecticut,12.3,19.1215,0.900898213,4.34173642,8.5,115.173,114.3557454,3.8,96.0511,94.3847801
2009 Connecticut,18.6,28.0401,0.959338217,8.771440136,12.3,114.597,114.7142612,6.4,86.5571,87.14546171
2011 Connecticut,11.8,21.703,0.900533831,6.765245693,6.8,114.804,113.7647953,5,93.1006,93.93030808
2012 Connecticut,9.5,15.0185,0.857611865,0.473184199,4.3,111.126,110.2553448,5.2,96.1075,94.31689169
2014 Connecticut,12.7,19.1162,0.893993061,4.799777604,4.3,111.355,111.6467543,8.5,92.2385,92.7522334
2016 Connecticut,13.5,18.752,0.873148417,1.234815538,4.4,111.651,110.3814381,9.1,92.899,93.33500481
2021 Connecticut,12.5,21.9011,0.918709142,2.030518478,6.4,113.581,113.9412014,6.1,91.6796,92.2791791
2022 Connecticut,13.3,19.3281,0.878829252,3.081213241,7.6,113.924,112.6123935,5.7,94.5963,94.78934412
2023 Connecticut,18.9,25.3686,0.947509869,5.033588826,10.2,119.437,118.9010127,8.6,94.0686,92.4536699
2008 Coppin St.,-10.2,-14.2405,0.140800237,-12.98056172,-9.6,92.4179,90.21331478,-0.6,106.658,105.5781835
2008 Cornell,3.6,5.04434,0.602558731,-1.244365118,6.2,110.651,107.5210787,-2.5,105.607,103.6998843
2009 Cornell,5.4,5.49712,0.647513615,-4.673091013,4.8,108.108,106.3200318,0.6,102.611,100.843825
2010 Cornell,10.5,13.552,0.802664286,2.018229124,6.9,115.443,113.9578867,3.6,101.891,100.8693731
2012 Creighton,10,17.0818,0.850361198,4.765686679,11.3,119.641,118.3800327,-1.3,102.559,101.7805073
2013 Creighton,13.4,22.2247,0.918660508,3.596464634,8.9,119.389,117.9512448,4.5,97.1644,95.5322579
2014 Creighton,14.8,24.7882,0.934251154,5.654933547,11.4,125.701,126.4786917,3.3,100.913,100.4138011
2017 Creighton,12,19.5902,0.905567587,4.284588317,8.1,115.639,115.6490071,3.9,96.0487,95.00971478
2018 Creighton,12.2,17.2792,0.898867193,2.03246949,8.1,116.454,117.1741523,4.1,99.1744,96.90075719
2021 Creighton,13.1,21.3051,0.903407893,3.247788003,8,114.87,114.2464117,5,93.5652,94.06169672
2022 Creighton,7.8,13.4685,0.801707232,1.720009638,2,105.588,104.1941583,5.8,92.1195,92.27542898
2023 Creighton,14.5,20.6545,0.913008811,2.158510531,8.3,114.621,113.8140771,6.2,93.9665,92.77124793
2008 Davidson,14.8,20.5532,0.894792769,1.509270712,9.5,114.056,110.7665136,5.3,93.5027,91.95323631
2012 Davidson,8.1,10.6934,0.786054582,-0.320660232,8.2,111.768,110.8676794,-0.2,101.075,99.00599757
2013 Davidson,9.7,11.1711,0.776823877,-1.249615488,6.4,112.441,110.8452988,3.3,101.27,99.45236579
2015 Davidson,10.3,16.8188,0.853467615,1.820191226,11.2,120.481,119.3178414,-0.9,103.662,102.3673855
2018 Davidson,10.7,14.9051,0.815264211,-2.876092281,8.9,117.399,116.4732486,1.7,102.494,102.3672892
2022 Davidson,9.1,14.8028,0.818628932,2.135981112,9,116.781,115.6883937,0.1,101.978,101.4787453
2009 Dayton,6.9,9.41849,0.758696288,1.264903179,-0.4,103.115,101.2434539,7.3,93.6967,91.6443592
2014 Dayton,8.6,12.9838,0.795002598,0.701368881,4.5,113.694,113.2139848,4.1,100.71,100.627275
2015 Dayton,9.4,13.8856,0.792278276,0.902824547,2.7,108.983,106.5305162,6.7,95.0972,94.82391282
2016 Dayton,9,13.3434,0.837253469,2.555537578,1.6,106.934,106.8031219,7.4,93.5907,92.6249191
2017 Dayton,10.2,15.6735,0.834551202,1.478768431,4.6,112.3,111.0370005,5.6,96.6262,96.46185349
2014 Delaware,4.1,5.78601,0.628060312,-1.215968376,8.6,111.299,110.8585116,-4.5,105.513,105.9214525
2022 Delaware,1.1,2.283,0.597220134,-5.461875216,2.5,106.849,106.8271178,-1.4,104.566,103.2300522
2012 Detroit Mercy,2.9,5.50243,0.601913133,-5.113380059,4.7,108.41,106.3896836,-1.9,102.907,102.6327474
2008 Drake,10.3,22.3393,0.912626507,5.174265995,5.4,119.786,118.0366222,4.9,97.4463,96.25329591
2021 Drake,7.3,14.6425,0.78537222,1.777628641,5.7,113.949,112.1674455,1.6,99.3062,100.2020091
2023 Drake,8.6,12.5086,0.791270916,-0.686831406,3.5,109.84,107.9287128,5.1,97.3312,96.11951832
2021 Drexel,0.9,1.6183,0.567065097,-4.485700059,2.4,107.143,106.1354474,-1.5,105.525,103.6736177
2008 Duke,18.2,27.6285,0.960742136,8.913860384,13.8,117.443,117.2134942,4.3,89.8149,88.76112843
2009 Duke,18.4,25.3284,0.948657931,7.889616652,11.3,117.869,116.6708634,7,92.541,90.53575492
2010 Duke,22.5,31.5489,0.970094021,8.41459465,12.8,119.296,119.1238236,9.6,87.7467,88.02427738
2011 Duke,19,29.5475,0.963872334,9.288591094,13.7,118.637,118.3283054,5.3,89.0891,88.93506507
2012 Duke,14.8,20.8659,0.915046734,7.981276174,12.2,117.909,117.1372474,2.6,97.043,95.26491784
2013 Duke,17.6,26.724,0.950162973,7.601164026,12.2,119.646,117.9951684,5.4,92.9223,91.31423558
2014 Duke,18.8,25.3098,0.948758539,6.514706246,13.6,124.75,126.0634656,5.2,99.4399,97.80676112
2015 Duke,22.4,29.3074,0.966304573,10.55692186,16.4,124.253,124.5976034,6,94.9453,93.0608068
2016 Duke,15.6,22.0532,0.918327495,4.211567833,12.1,121.786,121.5205158,3.5,99.7328,98.46119624
2017 Duke,17.7,25.0887,0.944708073,8.555807796,11.8,120.988,121.1099318,5.9,95.8991,94.62241527
2018 Duke,19.8,29.1348,0.957914464,6.636232549,12.4,122.602,123.0369343,7.5,93.467,93.76022554
2019 Duke,21.3,31.9925,0.969438524,11.21588753,10.9,120.084,119.3137715,10.4,88.0911,88.3362081
2022 Duke,16.8,23.7124,0.942834641,7.18535518,12,119.363,120.4319498,4.8,95.6508,94.38203082
2023 Duke,13,18.4885,0.891445276,4.502392107,6.1,113.242,111.8503887,6.8,94.7531,93.13661673
2009 East Tennessee St.,3.7,5.09407,0.610078614,-5.698453223,5.7,106.255,103.9094126,-2,101.161,99.94240163
2010 East Tennessee St.,-0.1,2.40771,0.533001549,-7.900536954,-1.1,100.3,98.12990742,1,97.8928,97.00831288
2017 East Tennessee St.,6.1,11.4836,0.759818575,-0.72081566,2.4,107.974,106.7719067,3.7,96.4902,96.59706079
2014 Eastern Kentucky,4,3.01993,0.585516029,-3.194462668,4.3,111.315,111.0203855,-0.3,108.295,107.7349347
2015 Eastern Washington,2.9,2.96737,0.586777714,-2.289163156,9.9,112.165,110.8364675,-7,109.197,107.5078256
2021 Eastern Washington,4,6.65145,0.715342917,-3.120770272,4.1,107.67,107.9556384,0,101.018,99.64281784
2016 Fairleigh Dickinson,-6.7,-9.74686,0.239400016,-9.734101013,2.1,104.836,103.6778845,-8.8,114.583,114.6412982
2019 Fairleigh Dickinson,-1.5,-4.2487,0.357654231,-9.151920693,1.3,106.184,104.7909521,-2.9,110.432,110.2649051
2023 Fairleigh Dickinson,-4.6,-12.2499,0.21551012,-12.19474197,1.3,106.175,104.6018137,-5.9,118.425,117.0394387
2010 Florida,10.8,14.9939,0.845561031,-0.019453658,5.9,112.433,111.7287653,4.9,97.4388,96.37343563
2011 Florida,15.1,19.5245,0.894076636,5.234886302,8.6,114.555,113.3261737,6.5,95.0304,94.14021457
2012 Florida,15.3,20.2909,0.914165313,3.048070349,11.8,120.271,120.5480728,3.5,99.98,98.13511892
2013 Florida,21.2,31.9831,0.974871119,4.198329115,7.5,118.162,117.5958305,13.7,86.1792,85.55347578
2014 Florida,19.2,27.8106,0.955488348,11.76948031,5.2,116.216,115.8836447,14,88.4056,88.76007326
2017 Florida,18.1,26.3891,0.95334363,6.344802572,8.5,115.851,115.6779945,9.6,89.4618,88.98325133
2018 Florida,12.1,18.7137,0.907438233,1.404512778,6.5,115.14,115.8486921,5.6,96.4262,94.99127254
2019 Florida,11.6,18.3239,0.892231944,0.641311639,4.4,110.219,109.8169742,7.2,91.895,91.37859038
2021 Florida,10.3,17.5522,0.87267493,1.177531999,5.8,110.975,110.4249921,4.5,93.4227,93.40649283
2023 Florida Atlantic,11,18.2298,0.873909896,4.718401165,6.5,114.275,112.201564,4.5,96.0455,94.81719747
2013 Florida Gulf Coast,3.3,3.35293,0.628766784,-3.870435734,4.1,103.304,101.9371776,-0.7,99.9512,97.37180801
2016 Florida Gulf Coast,-1,-1.39023,0.480163707,-8.262887611,-1,102.917,102.3278631,0,104.307,103.0366969
2017 Florida Gulf Coast,5.4,5.016,0.619886753,-1.733025025,3.9,109.563,108.2879019,1.5,104.547,103.7792268
2009 Florida St.,9.9,15.9569,0.846696102,5.04686512,2.5,105.685,103.9915041,7.4,89.7283,89.63156075
2010 Florida St.,13.1,18.605,0.897535029,2.804299451,2.7,104.941,103.7956338,10.4,86.3361,85.94579865
2011 Florida St.,10.5,14.9701,0.848958853,1.111098802,2.3,103.157,101.2464812,8.3,88.1874,87.13260318
2012 Florida St.,11.9,17.9858,0.898533406,4.271890793,4.5,107.767,106.4794769,7.4,89.7815,88.0845464
2017 Florida St.,13.9,22.7426,0.917957895,5.906148646,7.6,116.738,115.989732,6.3,93.9951,94.02011223
2018 Florida St.,11.5,15.8239,0.852846584,0.954839226,6.2,115.822,114.3611616,5.3,99.9984,98.15716061
2019 Florida St.,14.6,22.5574,0.898631806,7.669968167,5.9,112.987,111.297373,8.7,90.4293,92.06147953
2021 Florida St.,12.7,22.0698,0.92954968,2.382591,7,116.442,117.2299887,5.7,94.3726,93.67280762
2016 Fresno St.,2.5,6.69862,0.652716576,-0.716560178,1.7,107.084,105.5425669,0.8,100.385,99.90748718
2023 Furman,5,8.42507,0.697965026,-1.995355593,5.8,114.2,111.9162048,-0.8,105.775,104.0543502
