team_year,2p%_off,3p%_off,eff_off,ft%_off,2p%_def,3p%_def,eff_def,ft%_def
2016 Butler,50,38.7,113.775,73.1,48.5,33.9,101.794,71
2017 Butler,54.6,36.3,112.888,74,51,33.4,101.51,70.1
2018 Butler,54.1,35.6,110.897,77.1,49.6,37.4,102.037,74.2
2008 BYU,51.5,37.4,105.24,65.6,42.5,29,90.2512,71
2009 BYU,54.2,38,111.601,72.8,45.6,30,93.4846,70.4
2010 BYU,51.5,41.6,115.54,78.6,44.4,33.6,91.6015,67.5
2011 BYU,50.4,36.1,112.665,75.6,44.7,33.9,94.6423,69
2012 BYU,52.3,34.8,106.886,70.9,47.6,31.5,92.2898,66.9
2014 BYU,49.5,37.3,112.555,68.8,47.8,34.1,103.542,71
2015 BYU,50.3,38.5,116.014,77,49.6,33.2,102.966,70.1
2021 BYU,54.5,37.3,108.904,73.6,45.5,32.4,96.3259,69.1
2014 Cal Poly,44.1,33.5,102.501,68.7,48.3,34,106.56,72.7
2016 Cal St. Bakersfield,48.4,34.6,104.634,65.1,42.6,32.6,92.1481,67.7
2008 Cal St. Fullerton,52.7,38.5,113.516,70.6,51.2,37.5,100.332,67.2
2018 Cal St. Fullerton,52.2,34.3,102.99,73.7,45.2,36.3,101.526,76
2022 Cal St. Fullerton,48.7,33.5,103.807,76.4,48,37.1,99.3304,69.1
2009 Cal St. Northridge,50.4,36,101.819,69,47.7,32.5,97.0181,73.5
2009 California,50.3,43.4,112.094,75.6,47.5,34.9,101.753,70.7
2010 California,52.3,37.3,114.155,75.7,48.4,32.1,99.4574,69.7
2012 California,51.2,36.8,106.953,74.6,44.7,32.8,91.8027,68.8
2013 California,48.9,30.4,101.459,72.5,42,33.6,96.5891,69.4
2016 California,51,36.9,109.094,65.6,40.9,35.1,97.4043,70.6
2018 Charleston,51.8,36.4,111.949,76.8,48.8,35.1,103.526,75.6
2023 Charleston,52.9,33.3,112.46,74.3,49.1,30.3,94.3072,68
2009 Chattanooga,50.3,34.9,105.072,65.1,50.7,36.6,106.381,65.4
2016 Chattanooga,50.4,36.1,109.685,73.3,50,33,98.6493,67.1
2022 Chattanooga,53.9,34.1,111.059,76.6,52.1,30.6,99.6475,69.6
2011 Cincinnati,48.6,33.9,106.907,66.6,44.8,32.2,92.4169,69.7
2012 Cincinnati,46.1,34.3,104.228,64.1,45.5,31.7,93.6208,67.5
2013 Cincinnati,45.3,31.7,100.726,64.9,42.2,30,90.7086,65.6
2014 Cincinnati,46.9,33.5,107.367,70.9,43,31.9,91.9412,67.8
2015 Cincinnati,50.5,33.3,104.058,67.4,42,32.9,92.4216,64.9
2016 Cincinnati,47.5,34.5,108.015,70.4,40.9,35.6,93.5777,67.7
2017 Cincinnati,51.8,34.3,112.406,68.3,41,34.1,92.6982,73.6
2018 Cincinnati,50.5,35.7,112.022,68.7,40.7,30.9,86.3964,68.6
2019 Cincinnati,47.3,35,109.572,70.4,44.7,35.1,95.5241,66.4
2008 Clemson,49.6,38,109.876,62.3,49.1,29.8,95.4441,71.2
2009 Clemson,51.4,37.9,111.849,68.4,46.1,35.8,95.9776,66.4
2010 Clemson,51.2,33.6,104.512,65.9,46.8,29.4,91.6833,67.7
2011 Clemson,49.1,34.9,103.467,69.3,43.7,32.2,92.0852,70.6
2018 Clemson,51.2,36.6,108.129,75.7,44.3,35.5,97.3446,70.3
2021 Clemson,49.2,34.6,100.131,76.5,47.4,33.8,95.3828,69.7
2009 Cleveland St.,47.1,31,100.705,70.5,44.5,32.8,92.5419,68.2
2021 Cleveland St.,52.1,31.9,103.581,66.9,50.9,30.8,101.464,72.9
2014 Coastal Carolina,47.9,32,102.067,69.3,46.5,32.1,99.7112,69.5
2015 Coastal Carolina,48.2,35.4,109.08,70.3,45.1,33.5,99.7059,71
2019 Colgate,53.9,39.1,110.64,74.3,50.4,33.9,102.764,71
2021 Colgate,55.4,40,118.814,73.1,49.4,26.1,94.0365,67.6
2022 Colgate,52.7,40.2,111.011,69.3,48.2,33.7,99.2826,67.1
2023 Colgate,57.1,40.9,114.974,66.2,51.5,34.9,101.683,68.6
2012 Colorado,48.5,34.1,100.481,68.7,45.8,32.9,96.0939,66.1
2013 Colorado,47.2,34.7,101.747,68.4,44.9,32.3,95.4937,69.2
2014 Colorado,48.7,32,103.716,71.6,46.9,35.7,100.113,69.8
2016 Colorado,43.7,38.9,105.3,73.7,44.4,35.3,98.86,67.9
2021 Colorado,50.3,36.7,110.094,82.2,46.5,33.3,95.8568,72.6
2012 Colorado St.,50.4,40.5,107.675,76.9,48.7,35.7,103.77,71.2
2013 Colorado St.,48.4,33.4,112.595,70.9,46.6,33.9,98.6876,68.5
2022 Colorado St.,56.3,35.7,110.141,77.4,50.5,32.7,99.3144,70.9
2008 Connecticut,49.7,35.9,110.108,71.9,40.1,34.8,97.3841,68.1
2009 Connecticut,50.8,34.7,111.344,67.7,40.5,31.3,91.4777,70.9
2011 Connecticut,47.5,33.2,108.613,75.5,43.1,33.5,98.441,68.8
2012 Connecticut,50.5,33.1,104.789,66.1,40.5,34.3,97.9087,72.7
2014 Connecticut,48,38.7,108.213,76.1,41.4,32.9,95.4338,66.5
2016 Connecticut,50.9,36.2,108.729,78.7,41.3,32.7,93.7251,65.8
2021 Connecticut,49,33.6,108.197,73.1,45.6,31.6,96.6577,70.7
2022 Connecticut,47.8,35.3,109.555,75,42.8,34.5,95.4483,68
2023 Connecticut,53.4,35.7,114.228,75.4,45.8,30,95.0685,73.6
2008 Coppin St.,41.7,32.3,90.6896,71.7,49.4,35.2,102.17,65.2
2008 Cornell,53.3,40.9,111,76.3,45.7,36.2,99.2445,69.7
2009 Cornell,50.5,40.7,109.048,73.7,46.3,30.8,96.7642,69.3
2010 Cornell,50.3,43.7,113.894,73.2,45.2,35.3,97.8399,71.9
2012 Creighton,55.5,42.5,116.334,73.2,47.5,35.6,101.565,67.8
2013 Creighton,56.4,42.1,115.805,75,45.4,31.3,97.0199,68.1
2014 Creighton,56.2,42.1,121.422,75.2,46.8,33.6,103.321,69.5
2017 Creighton,56.7,40.1,112.19,68.3,49.9,33.4,100.347,67.8
2018 Creighton,59.3,37.6,114.134,74.9,50.1,33.2,102.198,72.9
2021 Creighton,56.3,36.7,109.643,64.2,46.1,32.1,97.5105,70.6
2022 Creighton,53.9,30.7,100.292,72.9,43.5,31.7,96.1478,72.3
2023 Creighton,54.5,36,109.592,76.7,45.6,34.1,97.6468,72.9
2008 Davidson,54.6,36.1,113.318,72.9,46.4,34.5,92.4581,64.1
2012 Davidson,51.5,34,111.513,76.7,46,34,97.34,66.8
2013 Davidson,52.2,36.6,112.788,80.1,44.5,32.3,95.8001,72.1
2015 Davidson,53.5,39.3,117.158,70.2,51.3,29.8,102.422,63.7
2018 Davidson,56.8,39.1,116.159,79.7,50,35.2,102.197,67.7
2022 Davidson,54.2,38.4,113.241,75.7,48.4,33.8,100.016,74.1
2009 Dayton,46.9,33.1,102.337,64.5,44.5,31.7,93.129,70.1
2014 Dayton,50.7,37.8,110.764,68.1,48.5,34.3,101.943,70.6
2015 Dayton,52.9,35.1,105.537,68.3,47.1,31.8,94.1075,68
2016 Dayton,52,34.7,105.445,67.3,43.7,34.9,94.5946,65.9
2017 Dayton,51.8,38.7,109.246,69.1,47.2,32.4,95.9768,71.1
2014 Delaware,49.9,34.5,111.766,70.9,49.5,32.1,105.662,68.6
2022 Delaware,54.2,35,107.166,74.2,47.5,34.9,102.824,75.7
2012 Detroit Mercy,50.1,29.6,104.586,74.1,48.5,37,99.9443,70.5
2008 Drake,50.9,36.6,115.172,76.5,49.2,33.8,97.1533,67
2021 Drake,54.4,36.6,114.165,71.1,49.7,30.8,97.8564,74
2023 Drake,51.9,36.7,108.714,77.1,47.5,31.2,94.3924,69.9
2021 Drexel,53.5,37.2,108.611,77.7,50.4,32.1,101.644,75.1
2008 Duke,51.8,38.4,112.963,69.5,47.1,32.8,93.0572,66.5
2009 Duke,50.2,34.9,111.86,72.3,46.1,34.1,94.5432,69
2010 Duke,46.8,38.2,114.554,76.3,44.4,28.2,91.1675,68.5
2011 Duke,52.1,37.5,114.459,75,42.6,31.6,90.8377,64.4
2012 Duke,50.9,37.6,111.949,70.2,47,31.7,99.0275,69
2013 Duke,51.1,40.6,114.451,73.2,46.3,29.3,95.1267,71.6
2014 Duke,50.8,39.4,119.916,72.6,50,30.5,102.429,68.8
2015 Duke,56.3,38.6,120.499,69.1,47.1,32,97.7779,69.6
2016 Duke,50.7,38.7,118.081,72.2,48.9,33.9,105.037,68.4
2017 Duke,53.8,37.6,115.574,75.8,48.8,29.5,100.308,70
2018 Duke,55.6,37.8,118.705,70.8,44.8,32.1,97.3075,73.9
2019 Duke,58.3,30.2,113.184,69,44.9,29.3,91.745,69.1
2022 Duke,55.8,36.8,117.152,72.9,46.9,31.4,98.2346,67.2
2023 Duke,51.4,33.6,110.245,77,46.7,30.4,96.9333,76.5
2009 East Tennessee St.,51.4,34.2,107.79,71.3,46.9,32.9,96.8366,69.1
2010 East Tennessee St.,48.3,31.4,100.26,66.2,47.6,32.6,96.0429,66.2
2017 East Tennessee St.,55.4,38.2,109.91,69.8,45.3,35.6,96.2229,72.4
2014 Eastern Kentucky,56.2,38.6,114.893,75.4,56.1,36.3,106.85,71.4
2015 Eastern Washington,52.3,39.6,114.793,71.4,49,38.4,107.62,71.7
2021 Eastern Washington,54.2,35.9,109.304,79.9,47.6,31.6,98.1596,72.7
2016 Fairleigh Dickinson,50.1,36.5,105.805,69.9,51.3,35.4,107.841,70.5
2019 Fairleigh Dickinson,51.2,40.4,108.37,74.3,51.6,34.3,104.709,70.3
2023 Fairleigh Dickinson,51.4,34.4,108.88,74.9,56.1,36.9,108.232,75.6
2010 Florida,50.5,31.3,107.29,70.2,48.1,32.1,98.2634,67.3
2011 Florida,50.9,35.6,109.694,66.7,47.5,31.9,96.9113,66.9
2012 Florida,51.7,39,114.131,71.2,46.9,35.6,99.5265,69
2013 Florida,54.9,38,114.451,68.1,41.5,30.1,85.6828,64.7
2014 Florida,51.3,36.8,111.583,66.1,42.9,33.3,91.4732,68.9
2017 Florida,49.9,36.3,109.917,72.6,45.5,30.7,93.6551,70.7
2018 Florida,47.5,37.5,109.73,72,46.6,35.7,100.621,73.7
2019 Florida,49.8,33.5,104.227,71.8,48.6,32,97.2175,69
2021 Florida,51.9,35.7,104.562,75.7,48.4,30.6,98.8706,70.3
2023 Florida Atlantic,54.3,37.2,112.947,71.8,44.8,32,94.37,74.9
2013 Florida Gulf Coast,52.3,33.1,103.586,67,47,31.5,95.8325,69.8
2016 Florida Gulf Coast,50.9,34.6,106.57,64.5,49,31,102.335,69.5
2017 Florida Gulf Coast,55.6,34,111.909,69.5,50.3,31.4,102.889,68.6
2009 Florida St.,48.1,34.3,100.327,72.3,42,32.7,94.8233,68.9
2010 Florida St.,51.1,33.6,100.334,64.6,39.9,32.8,88.6542,66.8
2011 Florida St.,48.9,33,99.0533,66.3,40.3,30.1,89.6939,70.7
2012 Florida St.,50.7,35.3,101.246,70.3,42.5,30.5,91.0453,71
2017 Florida St.,54.1,35.6,113.774,69.2,45.1,34.4,98.6561,71.4
2018 Florida St.,54.6,35.1,110.767,68.5,45.5,36.4,101.381,72.5
2019 Florida St.,51,33.6,106.629,74.1,46.2,32.6,95.7851,72.5
2021 Florida St.,52.1,39,111.363,73.8,44.2,33.3,98.9496,74.1
2016 Fresno St.,46.8,34.3,104.645,69.6,47.9,32.9,99.8094,69.2
2023 Furman,59.1,34.4,115.465,73.5,51.2,33.1,102.412,70.8
2019 Gardner Webb,53.8,37.7,108.532,71.6,49.9,33.8,105.231,72.5
2008 George Mason,52.8,35.2,109.991,70.4,46.4,32.8,97.9918,71.9
2011 George Mason,50.9,39.7,112.378,69,45.2,31.3,94.1214,68.2
2014 George Washington,50.2,36.9,107.234,65.4,47,31.4,97.7609,66.6
2008 Georgetown,55.6,38,111.212,66.5,40.3,29.9,92.6521,67.5
2010 Georgetown,54.6,38.8,110.137,71.2,45.6,32.6,97.8964,71.6
2011 Georgetown,54.6,36,107.862,73.2,45.4,33,101.031,71
2012 Georgetown,50.8,34.3,104.701,69.6,44.3,26.6,90.4593,68.4
2013 Georgetown,50.4,35.8,102.315,68,41.3,30.5,88.4906,66.5
2015 Georgetown,50.4,34.7,107.548,70.2,42.7,35.9,98.2031,70.7
2021 Georgetown,46.1,36.6,101.239,75.4,47.4,32.6,100.383,68.7
2008 Georgia,46.9,32.9,100.968,67.5,49.1,30.8,99.5491,63.9
2011 Georgia,48.9,34,103.602,69.6,43.1,32.2,96.4666,69.6
2015 Georgia,47.7,34.4,103.296,68.9,43,31,96.9056,70.3
2015 Georgia St.,53.4,31.9,108.62,73.4,42.2,32.6,95.7931,70.8
2018 Georgia St.,50.9,39.1,108.676,68.3,43.9,33.9,98.4189,69.8
2019 Georgia St.,51.8,38.4,106.563,65.6,50.5,33,102.734,69.8
2022 Georgia St.,43.1,32.3,99.6748,71.6,45.4,37.9,97.8036,70
2010 Georgia Tech,48.9,36.7,102.079,64.2,42,31.2,93.6062,66.7
2021 Georgia Tech,54.8,34.9,108.198,72.7,50.7,36.7,100.068,70.6
2008 Gonzaga,53.6,37.2,110.743,71.5,43.6,32.1,91.8664,64.5
2009 Gonzaga,52.9,39.9,114.842,70.8,38.6,33.7,89.7464,70
2010 Gonzaga,54.2,36.5,110.661,66.6,44.6,33.4,96.8793,65.2
2011 Gonzaga,52.1,35.6,110.305,75.9,42.2,36.1,95.0132,69.9
2012 Gonzaga,51.9,37.6,109.509,71.5,46.5,31.2,93.4641,66.9
2013 Gonzaga,55.9,36.4,117.92,71.2,42.1,31.8,91.5809,68
2014 Gonzaga,54,38.7,113.905,71,42.8,31.8,97.0929,71.2
2015 Gonzaga,57.1,40.8,120.007,68.9,41.4,32.3,93.6311,66.1
2016 Gonzaga,54.6,37.6,116.179,76,44.9,30.3,97.8566,70.7
2017 Gonzaga,58.4,38.2,119.293,73.8,40,30,86.2747,65.8
2018 Gonzaga,58.8,37.4,120.03,72.2,43.3,35.5,95.1115,71.8
2019 Gonzaga,62.3,36.5,123.829,76.7,43.1,30.9,90.7597,69.5
2021 Gonzaga,64,36.5,122.395,72.6,46.8,32.5,91.6576,70.3
2022 Gonzaga,60.9,37.9,118.885,73.1,41.6,30.7,88.5732,69.5
2023 Gonzaga,59,38.4,120.383,70.2,51.2,35,102.978,73.5
2021 Grand Canyon,55.4,32.2,106.694,69.2,44.8,29.7,92.4329,69.7
2023 Grand Canyon,50.5,37.6,108.542,71.5,46.8,32,103.639,70
2016 Green Bay,48.7,35,107.029,65.7,49.5,36.3,103.144,71.6
2011 Hampton,45.1,32.1,97.3629,64.7,40.5,31.2,90.3353,66.7
2015 Hampton,45.9,30.4,96.6099,65.2,44.3,34.4,98.5232,68.7
2016 Hampton,47.6,30.9,102.131,65.4,47.2,33.2,100.925,72.7
2021 Hartford,51.3,32.7,99.1816,71.2,50.7,28.7,95.4155,66.8
2012 Harvard,52.2,35.5,105.296,75,42.9,33.6,88.9122,65.1
2013 Harvard,52.4,40.1,106.623,72.3,49,32.7,99.3506,72.7
2014 Harvard,49.9,38.9,111.823,72.6,44.8,32.6,92.8241,70.6
2015 Harvard,45.8,34.1,101.729,71.5,44.1,33.4,93.6062,67.4
2016 Hawaii,54.6,32.8,107.946,68.6,43.8,31.3,92.6195,70.7
2016 Holy Cross,47.1,32.7,99.1292,69.3,52.2,36.5,105.656,72.3
2010 Houston,45.2,35.6,109.115,71,51.5,33.7,103.912,70.9
2018 Houston,51.4,38.7,112.888,71.7,43.8,32.7,94.8876,70.8
2019 Houston,50.8,35.9,112.096,70.2,43.1,27.6,91.1078,69.2
2021 Houston,49.9,35.5,115.808,74.3,43,28.5,88.5559,65.2
2022 Houston,55.1,34.1,114.576,66.9,43.5,29,88.9612,70.5
2023 Houston,53.2,34.5,116.021,71.9,43.1,27.8,87.4193,69
2023 Howard,49.9,37.2,103.037,71.6,50.8,33.6,101.975,69.3
2009 Illinois,50.3,35.3,101.817,71.1,44,29,89.7271,63.3
2011 Illinois,50.4,38.7,106.76,72.9,45.2,30.5,98.039,72.3
2013 Illinois,47.6,32.1,104.028,72.4,47.8,34.2,99.3959,71.3
2021 Illinois,55.3,37.6,112.127,69.1,45.4,32.7,95.8562,68.5
2022 Illinois,51.7,36.7,110.345,70.8,45.5,32.2,98.2696,72.1
2023 Illinois,55.3,30.9,106.287,68,45.3,33.6,96.0045,70.2
2008 Indiana,52.6,34.6,110.581,76.3,44.8,33.8,95.5713,64.2
2012 Indiana,50.8,43.3,113.78,76.2,45.5,34.9,97.2707,69.1
2013 Indiana,52.2,41.1,117.425,74.5,43,30.6,92.2932,70.4
2015 Indiana,50.7,40.3,115.321,71.5,51,32.8,106.728,66.9
2016 Indiana,56.1,41.5,119.203,72.3,48.7,34.3,100.165,66.6
2022 Indiana,51.4,33.9,103.985,69.9,43.4,32.6,95.8817,76.1
2023 Indiana,53.2,37,108.931,71.2,45.7,33.2,99.6621,70.5
2011 Indiana St.,46.4,35.5,100.042,71.3,44.2,32.9,97.9268,71.6
2012 Iona,55.7,39.3,114.896,71.6,50,35.4,99.9349,70.1
2013 Iona,50.5,37.3,112.06,77.8,49.1,37.3,104.874,66.2
2016 Iona,52.3,37.2,109.763,71.2,45.8,35.5,100.984,69.5
2017 Iona,49.3,39.7,110.079,77,47.2,36,103.915,69.6
2018 Iona,51.3,38.8,109.478,73.9,51.4,35.5,104.196,66.2
2019 Iona,53.3,35.1,107.93,74.1,50.2,36.8,105.576,68.3
2021 Iona,49.9,35.5,103.193,74.3,45.8,30.1,94.2201,69.1
2023 Iona,50.8,36,110.689,73.1,47,29.2,94.0259,70.2
2014 Iowa,50.7,35.3,115.603,73.3,47,32,98.9669,70
2015 Iowa,46.9,33.2,107.06,74.5,43.1,32.4,96.2495,70.3
2016 Iowa,48.7,38.2,112.194,71.9,48,31,99.144,68.1
2019 Iowa,51.5,36.1,110.452,74,53.4,32.6,104.226,68.4
2021 Iowa,52.4,38.6,117.408,71.3,45.8,34.8,101.074,67.5
2022 Iowa,52.6,36.8,118.165,74.9,50,32.9,101.016,70.6
2023 Iowa,52.1,34.3,113.509,73.9,52.6,36.6,105.692,74.4
2012 Iowa St.,50,38,107.615,67.9,49.9,29.8,98.1541,69.9
2013 Iowa St.,52.1,37,111.897,73.1,48.6,30.7,99.802,72.2
2014 Iowa St.,54.6,35.1,113.458,69.4,45.4,33.6,100.974,72.7
2015 Iowa St.,54.7,36.6,112.195,69.6,45.4,35.2,99.1069,73.2
2016 Iowa St.,56.7,38,112.951,70.6,49,33.6,103.652,68.5
2017 Iowa St.,51.2,40.2,112.325,69.6,47.1,34.8,100.85,70.2
2019 Iowa St.,55,36.5,112.927,73.2,47.1,33.8,99.678,71.5
2022 Iowa St.,50.9,32.1,98.0934,68.4,50.7,29.6,92.9036,71.9
2023 Iowa St.,50.7,33.9,103.094,67.4,49.6,33.8,94.8508,71.9
2017 Jacksonville St.,50.9,36.7,105.63,71.7,44.7,37.9,103.909,72
2022 Jacksonville St.,51.8,38.2,106.638,68.3,47.4,32.5,99.7107,77.4
2013 James Madison,46.1,33.3,100.486,70.1,46.7,35,98.9792,69.3
2008 Kansas,54.8,39.9,117.53,70.8,40.9,34,89.3201,67.7
2009 Kansas,52.1,38,110.702,72.8,41.6,33.5,94.4339,71.7
2010 Kansas,52.3,40.9,115.923,70.1,40,33,90.9538,67.7
2011 Kansas,57.5,38.7,116.525,68.1,44.9,29.4,92.4144,72.9
2012 Kansas,54.1,35.8,109.926,69.6,40,34.7,90.4833,72.1
2013 Kansas,52.7,36.7,109.623,73.3,39,30.7,89.303,69
2014 Kansas,55.7,34.5,115.053,71.1,44.1,35.9,101.548,67.5
2015 Kansas,46.5,37.5,106.342,72,43.5,30.9,96.675,66.9
2016 Kansas,52.2,42.2,114.369,70.6,43.3,33,96.1366,71.9
2017 Kansas,53.2,40.5,114.544,66.6,45,35.7,100.058,71.1
2018 Kansas,56.5,40.3,116.004,70.1,48.1,32.7,101.438,72
2019 Kansas,52.2,35,105.568,69.7,45.9,33.6,98.4952,68.1
2021 Kansas,49.3,33.7,104.203,71.4,45.9,32.5,94.8304,73.1
